name,item,cash_price,credit_price,popularity,options
Gypsy's Trattoria Italiana,Crazy Alfredo,10.49,10.99,8,
Gypsy's Trattoria Italiana,Melanzana Con Pollo,10.49,10.99,9,
Gypsy's Trattoria Italiana,Godfather's favorite,10.49,10.99,10,
Gypsy's Trattoria Italiana,Gypsy's Chicken,10.49,10.99,8,
Gypsy's Trattoria Italiana,Pollo Con Pesto,10.49,10.99,8,
Gypsy's Trattoria Italiana,Chicken Gnocchi,10.49,10.99,7,
Gypsy's Trattoria Italiana,Spaghetti with Meatballs,9.49,9.99,6,
Gypsy's Trattoria Italiana,Lasagna,10.49,10.99,5,
Gypsy's Trattoria Italiana,Linguine Clams (Cream Or Tomato Sauce),9.99,10.49,7,
Gypsy's Trattoria Italiana,Shrimp Alfredo,9.99,10.49,4,
Gypsy's Trattoria Italiana,Ravioli Alfredo,8.49,8.99,4,
Gypsy's Trattoria Italiana,Funghi,8.49,8.99,3,
Gypsy's Trattoria Italiana,Fettuccine Alfredo,8.49,8.99,2,
Gypsy's Trattoria Italiana,Margarita 10'' Pizza,7.99,8.49,1,
Gypsy's Trattoria Italiana,Pollo Calzone,8.49,9.49,8,
Gypsy's Trattoria Italiana,Combo Calzone,9.49,9.49,8,
Gypsy's Trattoria Italiana,Caesar Salad,5.99,6.49,1,
Taco Sinaloa,Tacos,2,2,9,
Taco Sinaloa,Burrito,8.5,8.5,7,
Taco Sinaloa,Breakfast Burrito,9,9,5,
Taco Sinaloa,Super Burrito,14,14,6,
Taco Sinaloa,Burrito Bowl,9,9,6,
Taco Sinaloa,Tostada,6,6,4,
Taco Sinaloa,Torta,8,8,4,
Taco Sinaloa,Quesadilla de Carne,8.5,8.5,4,
Taco Sinaloa,Veggie Tacos,2.5,2.5,3,
Taco Sinaloa,Veggie Burrito,8,8,3,
Taco Sinaloa,Can Sodas,1.25,1.25,3,
Taco Sinaloa,Jarritos,2.5,2.5,3,
Taco Sinaloa,Bottled Water,1,1,3,
Taco Sinaloa,Aguas Frescas - Jamaica (S),2.5,2.5,7,
Taco Sinaloa,Aguas Frescas - Horchata (S),2.5,2.5,7,
Taco Sinaloa,Aguas Frescas - Strawberry Horchata (S),2.5,2.5,7,
Taco Sinaloa,Aguas Frescas - Jamaica (L),4,4,6,
Taco Sinaloa,Aguas Frescas - Horchata (L),4,4,6,
Taco Sinaloa,Aguas Frescas - Strawberry Horchata (L),4,4,6,
Thai Basil,Green Curry Chicken,7.99,,6,
Thai Basil,Red Curry Chicken,7.99,,7,
Thai Basil,Yellow Curry Chicken,7.99,,6,
Thai Basil,Panang Curry Chicken,7.99,,7,
Thai Basil,Pad Thai,8.22,,8,
Thai Basil,Pad See-ew Chicken,7.77,,8,
Thai Basil,Tom-Yum (Chicken or Vegetable),6.4,,7,
Thai Basil,Combination Fried Rice,8.88,,6,
Thai Basil,Red Curry Tofu,7.99,,7,
Thai Basil,Sweet and Sour Tofu,7.54,,4,
Thai Basil,Pepper Garlic Chicken,8.45,,5,
Thai Basil,Pepper Garlic Prawns,9.59,,6,
Thai Basil,Pla Rad Prik,10.96,,9,
Thai Basil,Pad Prik King Chicken,7.77,,10,
Imm Thai Street Food,Pad Thai,10,10,10,
Imm Thai Street Food,Pad See Ew,10,10,10,
Imm Thai Street Food,Pad Kee Mao,10,10,10,
Imm Thai Street Food,Duck Noodle Soup,12,12,8,
Imm Thai Street Food,Green Curry,11,11,8,
Imm Thai Street Food,Yellow Curry,11,11,8,
Imm Thai Street Food,Pumpkin Curry,11,11,8,
Imm Thai Street Food,Red Curry,11,11,8,
Imm Thai Street Food,Crispy Pumpkin,7,7,3,
Imm Thai Street Food,Sweet Chicken,11,11,7,
Imm Thai Street Food,Tom Yum,6,6,6,
Brazil Café,Tri tip Sandwich,8.25,8.25,10,
Brazil Café,Tri tip Plate,9.99,9.99,10,
Brazil Café,Pedro's Favorite Tri tip Sandwich,8.99,8.99,10,
Brazil Café,Grilled Chicken,8.99,8.99,8,
Brazil Café,Tri tip Salad,8.99,8.99,7,
Brazil Café,Spicy Tuna Sandwich,7.99,7.99,6,
